iter	RMSE	RMSE
0	11.91212353	11.91212353
1	11.79449702	11.79449702
2	11.67692855	11.67692855
3	11.5605347	11.5605347
4	11.44666379	11.44666379
5	11.33423733	11.33423733
6	11.2218364	11.2218364
7	11.11168346	11.11168346
8	11.00331792	11.00331792
9	10.89402452	10.89402452
10	10.7869051	10.7869051
11	10.67958831	10.67958831
12	10.57396017	10.57396017
13	10.46857963	10.46857963
14	10.36585871	10.36585871
15	10.26255726	10.26255726
16	10.16113811	10.16113811
17	10.06203928	10.06203928
18	9.963011033	9.963011033
19	9.864955034	9.864955034
20	9.768004285	9.768004285
21	9.670844788	9.670844788
22	9.574669294	9.574669294
23	9.479704793	9.479704793
24	9.385879106	9.385879106
25	9.292550976	9.292550976
26	9.199973051	9.199973051
27	9.109055992	9.109055992
28	9.019147303	9.019147303
29	8.930212251	8.930212251
30	8.841753807	8.841753807
31	8.754911038	8.754911038
32	8.66770498	8.66770498
33	8.582310383	8.582310383
34	8.496876465	8.496876465
35	8.413656161	8.413656161
36	8.330141166	8.330141166
37	8.249337692	8.249337692
38	8.167183617	8.167183617
39	8.085975566	8.085975566
40	8.005669766	8.005669766
41	7.926767775	7.926767775
42	7.848597608	7.848597608
43	7.771085879	7.771085879
44	7.693712928	7.693712928
45	7.617586683	7.617586683
46	7.541748972	7.541748972
47	7.467140679	7.467140679
48	7.393165254	7.393165254
49	7.320531966	7.320531966
50	7.247664025	7.247664025
51	7.176837878	7.176837878
52	7.105739874	7.105739874
53	7.035130505	7.035130505
54	6.965323149	6.965323149
55	6.896415085	6.896415085
56	6.827788141	6.827788141
57	6.760522759	6.760522759
58	6.693855389	6.693855389
59	6.627365772	6.627365772
60	6.56222573	6.56222573
61	6.497867542	6.497867542
62	6.433569306	6.433569306
63	6.369830125	6.369830125
64	6.306598326	6.306598326
65	6.244490974	6.244490974
66	6.182385477	6.182385477
67	6.120993211	6.120993211
68	6.060124492	6.060124492
69	6.000363653	6.000363653
70	5.940978432	5.940978432
71	5.882472028	5.882472028
72	5.824241323	5.824241323
73	5.767234022	5.767234022
74	5.709903914	5.709903914
75	5.65314818	5.65314818
76	5.596961111	5.596961111
77	5.541583812	5.541583812
78	5.487378519	5.487378519
79	5.43301631	5.43301631
80	5.379629352	5.379629352
81	5.32679898	5.32679898
82	5.273879431	5.273879431
83	5.221490393	5.221490393
84	5.169990105	5.169990105
85	5.118744456	5.118744456
86	5.068735785	5.068735785
87	5.018795968	5.018795968
88	4.969061212	4.969061212
89	4.920049041	4.920049041
90	4.871553311	4.871553311
91	4.823191852	4.823191852
92	4.775315563	4.775315563
93	4.72814821	4.72814821
94	4.681225509	4.681225509
95	4.635165899	4.635165899
96	4.589388147	4.589388147
97	4.54389467	4.54389467
98	4.49953355	4.49953355
99	4.454951575	4.454951575
100	4.410880424	4.410880424
101	4.367138429	4.367138429
102	4.324344353	4.324344353
103	4.281829253	4.281829253
104	4.239385068	4.239385068
105	4.197361688	4.197361688
106	4.155999123	4.155999123
107	4.114813495	4.114813495
108	4.074041772	4.074041772
109	4.034112122	4.034112122
110	3.994224027	3.994224027
111	3.954676516	3.954676516
112	3.915966874	3.915966874
113	3.87735351	3.87735351
114	3.839228397	3.839228397
115	3.801221097	3.801221097
116	3.7637726	3.7637726
117	3.726523776	3.726523776
118	3.689649792	3.689649792
119	3.653146938	3.653146938
120	3.617270309	3.617270309
121	3.581661433	3.581661433
122	3.546873949	3.546873949
123	3.511815584	3.511815584
124	3.477097585	3.477097585
125	3.442989233	3.442989233
126	3.408963631	3.408963631
127	3.375581954	3.375581954
128	3.342233764	3.342233764
129	3.309417142	3.309417142
130	3.276954625	3.276954625
131	3.245044038	3.245044038
132	3.213289241	3.213289241
133	3.181573468	3.181573468
134	3.150351629	3.150351629
135	3.119385373	3.119385373
136	3.088824371	3.088824371
137	3.058650118	3.058650118
138	3.028829396	3.028829396
139	2.999047445	2.999047445
140	2.969609491	2.969609491
141	2.94069306	2.94069306
142	2.911939281	2.911939281
143	2.883284556	2.883284556
144	2.854894657	2.854894657
145	2.827170506	2.827170506
146	2.799435789	2.799435789
147	2.772061236	2.772061236
148	2.74479463	2.74479463
149	2.718107277	2.718107277
150	2.691595073	2.691595073
151	2.665162936	2.665162936
152	2.639002892	2.639002892
153	2.613122096	2.613122096
154	2.587457871	2.587457871
155	2.562353255	2.562353255
156	2.537380489	2.537380489
157	2.512526865	2.512526865
