iter	Passed	Remaining
0	16	10112
1	36	11350
2	40	8441
3	46	7327
4	59	7387
5	72	7539
6	81	7297
7	93	7299
8	106	7330
9	115	7131
10	128	7217
11	132	6837
12	144	6852
13	146	6430
14	157	6437
15	159	6102
16	170	6162
17	182	6211
18	193	6234
19	205	6277
20	216	6273
21	220	6095
22	224	5930
23	236	5961
24	247	5991
25	251	5848
26	253	5661
27	264	5696
28	274	5692
29	285	5713
30	293	5662
31	303	5676
32	305	5530
33	316	5545
34	324	5516
35	336	5545
36	342	5488
37	351	5476
38	353	5356
39	357	5273
40	364	5231
41	375	5254
42	386	5278
43	397	5299
44	400	5205
45	411	5219
46	413	5128
47	425	5157
48	432	5128
49	443	5141
50	445	5057
51	456	5079
52	465	5069
53	469	5005
54	475	4971
55	486	4986
56	488	4911
57	499	4930
58	510	4945
59	515	4893
60	526	4912
61	536	4913
62	545	4911
63	552	4885
64	561	4880
65	571	4884
66	573	4818
67	577	4769
68	579	4710
69	589	4719
70	596	4699
71	608	4716
72	615	4695
73	626	4708
74	628	4651
75	630	4597
76	632	4543
77	639	4526
78	651	4543
79	662	4554
80	672	4556
81	681	4555
82	683	4504
83	685	4456
84	695	4459
85	699	4422
86	707	4417
87	717	4418
88	721	4387
89	731	4386
90	741	4391
91	743	4346
92	745	4303
93	751	4285
94	753	4244
95	763	4246
96	770	4235
97	774	4205
98	783	4203
99	791	4194
100	798	4181
101	800	4142
102	811	4152
103	820	4151
104	824	4122
105	826	4086
106	838	4097
107	840	4060
108	841	4024
109	852	4031
110	856	4005
111	860	3981
112	872	3991
113	879	3980
114	889	3983
115	893	3959
116	904	3966
117	906	3934
118	908	3903
119	911	3872
120	920	3871
121	927	3861
122	938	3867
123	942	3845
124	945	3818
125	954	3817
126	956	3787
127	970	3804
128	972	3777
129	979	3769
130	990	3773
131	1001	3780
132	1011	3777
133	1012	3748
134	1018	3734
135	1028	3735
136	1040	3743
137	1051	3748
138	1063	3756
139	1070	3748
140	1081	3750
141	1090	3748
142	1101	3752
143	1105	3732
144	1107	3705
145	1117	3705
146	1124	3695
